연번,호선,역번호,역명,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
192,6,2628,효창공원앞,202221,174450,152557,160195,173556,181568,193097,164923,160673,178447,182466,153210
193,6,2629,삼각지(6),187618,153565,124125,128810,136586,145763,154533,127405,118938,144906,147720,114250
194,6,2630,녹사평,160332,141242,117798,119706,111673,117470,133785,113432,109074,131119,124608,96884
195,6,2631,이태원,445139,348914,273211,266727,212868,217841,257482,229212,204834,276397,255787,188653
196,6,2632,한강진,242953,205634,165412,171295,176080,187803,218036,179356,166846,217965,200903,150325
197,6,2633,버티고개,67508,57995,48867,50885,54983,59313,62923,52634,51512,59199,60288,49243
198,6,2634,약수(6),108546,94368,80242,83021,88695,92624,99078,84236,80285,89725,94689,77573
199,6,2635,청구(6),108674,96062,84802,87538,94015,98289,102924,86423,86627,95972,97307,83473
200,6,2636,신당(6),250110,227179,178820,174806,192120,203169,214157,175210,176218,195956,205783,171024
201,6,2637,동묘앞(6),263636,210487,183467,199520,219170,216460,227272,184098,191639,223398,218911,189104
202,6,2638,창신,100946,87157,75732,79076,85528,93590,97747,79802,79719,89090,93910,76792
203,6,2639,보문,217714,189873,166120,172443,185711,192639,204996,169811,165323,185462,190392,160864
204,6,2640,안암,321888,254217,212356,219216,254967,279891,286278,225281,216664,255183,256785,200075
205,6,2641,고려대,245849,202715,164114,171355,194034,206647,216226,179399,176768,200914,201676,165185
206,6,2642,월곡,350242,291816,253781,263265,289000,299746,312322,255844,251991,284237,296359,245564
207,6,2643,상월곡,185375,153431,134729,141881,156953,164011,170454,141512,141570,159781,164877,139122
208,6,2644,돌곶이,254455,218135,205846,212942,231795,246167,255733,199812,191382,218114,225460,190720
209,6,2645,석계(6),377568,321084,281092,296218,322269,336866,349554,298432,284348,325308,328108,276579
210,6,2646,태릉입구(6),160607,136193,121107,126033,140858,143425,149703,126240,122063,140170,142796,117168
211,6,2647,화랑대,346001,288533,244265,256790,282637,303514,318008,259503,250915,295315,300975,240795
212,6,2648,봉화산,285994,242944,208186,214526,230810,242165,255508,213676,206297,230952,234945,198557
213,7,2711,장암,69869,62782,56727,58846,63815,66181,70215,59466,58154,65101,62845,51517
214,7,2712,도봉산(7),257034,223639,209204,220328,242200,251082,260291,214582,215025,253995,246294,202086
215,7,2713,수락산,381823,326468,293158,309941,340735,348420,363458,310439,299260,346455,339694,288365
216,7,2714,마들,350834,297368,261244,275194,300489,316540,333420,286255,276809,310782,313329,273486
217,7,2715,노원(7),625270,514770,425453,455755,511893,525438,561648,478063,426287,501110,501180,422993
218,7,2716,중계,446410,372643,306612,325859,361457,384107,398101,334060,320717,369690,377291,315438
219,7,2717,하계,546296,453183,378880,404183,451030,472122,495552,417986,391873,458911,462854,384135
220,7,2718,공릉,356706,303421,259145,273897,301908,316870,329222,278107,262722,313014,312747,256231
